MESSAGES=66626, DATE=2018-04-20 05:20, STEPSIZE=random, ORDER=50, ITERATIONS=20
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
6100,53.55,190.34954031990728,0.00017037374822893712,0.0005281896761520728
6150,55.4,198.16190350317086,0.00017600149086300566,0.0005522163512117892
6200,56.3,201.61450840651324,0.00018098809826028157,0.0005735414724382162
6250,56.5,202.48419691422833,0.00018027572577495644,0.0005764391341682341
6300,57.25,205.5156624201669,0.0001838375882015821,0.0005759125968992257
6350,57.85,208.12502852852657,0.0001917754530380621,0.0005951008365334978
6400,58.15,209.42976746394004,0.00019498112922202514,0.0006103823545802533
6450,58.5,210.95200876028653,0.00019612092519854537,0.0006152634161312075
6500,59.55,215.29479208750035,0.00020541229775714308,0.0006292465281012034
6550,60.1,216.57629140790087,0.00021225107361626431,0.0006246199837714726
6600,60.5,218.08564831276723,0.00021968765642897984,0.0006274769257282806
6650,60.65,218.73803395843166,0.0002168381664876793,0.0006265080086255659
6700,60.75,219.1729625204715,0.00021947394468338228,0.0006377691065443305
6750,61.3,221.3490682157935,0.00021947394468338228,0.0006377691065443305
6800,61.9,223.95867922453908,0.00022531539906304833,0.0006633856540653245
6850,63.15,229.39578788635157,0.00022389065409239806,0.00065728807195869
6900,64.6,235.4738626684499,0.0002238499470932366,0.0006571138863546011
6950,65.35,238.5079191557379,0.00021943323768422088,0.0006438712585024241
7000,65.5,239.16051095446338,0.00022748304676839477,0.000678364003189631
7050,66.05,241.3247759762764,0.00023068872295235786,0.0006738021363222117
7100,66.7,242.85306257076522,0.00023705936832112257,0.00067317879216397
7150,66.9,243.72297798935577,0.00024453927941703644,0.0006824110266120124
7200,71.4,263.2993353580673,0.000252690855999114,0.0007172414217724826
7250,71.8,265.0397328703755,0.0002519784835137888,0.0007141948110562033
7300,73.3,270.9151343133122,0.00025849160337961853,0.00072205657872721
7350,74.0,273.7321683690099,0.0002701032748904181,0.0007467935207663343
7400,74.45,275.23562178613435,0.0002701032748904181,0.0007467935207663343
7450,75.75,280.457817683872,0.0002775831859863319,0.0007799423599033245
7500,77.7,288.9425721488614,0.0002839795934769435,0.0007791514013079059
7550,79.5,296.77542014122395,0.00028818767951525697,0.0007804116515068402
7600,80.25,300.0393099245497,0.0002867629345446067,0.0007743798295617631
7650,80.95,302.21539917747407,0.00028768901877552935,0.0007783001944565435
7700,81.8,304.99813114181535,0.000296949861084756,0.000794876304368937
7750,82.4,307.16158613993383,0.00029666491209062593,0.0007936677409272935
7800,85.8,321.7398949462127,0.0003022112407263716,0.0007986019580545835
7850,88.2,331.72738807641434,0.0003014988682410465,0.0007955837475471279
7900,88.65,333.4561852777663,0.0003014988682410465,0.0007955837475471279
7950,89.65,337.35786266218844,0.00030142763099251393,0.0007952819633175455
8000,90.05,338.8805799983233,0.00030057787238501894,0.0007970148548247478
8050,90.5,340.839184953843,0.00030556447978229487,0.0007996841332638283
8100,91.4,344.5262544422413,0.000306419326764685,0.0008032939729138948
8150,92.65,348.1528794940521,0.00030490299104592156,0.0007969978787589477
8200,93.1,349.6676850954346,0.0003095334122005348,0.0007960608890802079
8250,94.2,354.2252955394349,0.00031060197092852256,0.0008005715003834425
8300,98.1,371.20154902694037,0.00031056322099662847,0.0008004078993153474
8350,99.4,375.3155205956716,0.00031150926731367837,0.0008044027058057115
8400,101.5,384.2376217915159,0.0003177781451845394,0.0008309057043042207
8450,101.9,385.5208035891189,0.0003197160094706684,0.0008411689533912747
8500,102.35,387.2520206532175,0.00032036223308235624,0.0008439067197748767
8550,103.8,393.3449631049062,0.0003238528582604493,0.0008606548664397484
8600,105.45,398.04716743119775,0.00033019297337984297,0.0008710291194986525
8650,106.25,401.09149517285954,0.00033538681640921347,0.0008769669650269587
8700,107.0,404.35590758637375,0.00033367712244443306,0.0008697720366587386
8750,108.35,410.01308210836396,0.000333249698953238,0.0008679739834145908
8800,108.95,412.62470539220016,0.00033311231283106817,0.0008675384157936342
8850,112.9,418.33310889768217,0.0003329443964595272,0.0008668321058978909
8900,113.7,421.5798975283333,0.00033188262223139974,0.0008623669336641937
8950,114.35,423.96182316335984,0.0003313585196171963,0.0008617582260399311
9000,115.2,427.6562404548775,0.00033663007600860217,0.0008839690990414031
9050,116.8,433.7014641432514,0.00034577192862797235,0.0009224886309059148
9100,118.35,439.98434915346706,0.00035147090851057335,0.0009340581065988773
9150,119.5,444.5292453821233,0.0003662653585183076,0.000980706244014428
9200,121.95,446.2692544865711,0.0003717641956550316,0.0009870559297929407
9250,122.45,447.77667145576044,0.0003713656062882425,0.0009857106905834954
9300,126.25,464.2810436578259,0.00037635221368551844,0.0009898544575138325
9350,126.95,466.0150721811474,0.00037524629276424447,0.0009852471055818647
9400,128.4,471.20159167812665,0.00037598071487411535,0.0009883174878626967
9450,130.4,479.430015747867,0.0003809673222713913,0.0010091863990423784
