EDGES=66626, DATE=2018-03-12 18:28,, STEPSIZE=100,
Number of edges,Largest component size,,Average Clustering Coefficient,
41300,13249,0,0.027757081,0
41400,13270,0,0.02779477,0
41500,13300,0,0.027925739,0
41600,13321,0,0.027891221,0
41700,13343,0,0.027927111,0
41800,13371,0,0.027889,0
41900,13401,0,0.027979138,0
42000,13434,0,0.027959105,0
42100,13469,0,0.027990616,0
42200,13495,0,0.028036901,0
42300,13522,0,0.028076743,0
42400,13543,0,0.027993669,0
42500,13570,0,0.028144658,0
42600,13596,0,0.028225927,0
42700,13625,0,0.028237091,0
42800,13643,0,0.028260275,0
42900,13676,0,0.028212201,0
43000,13708,0,0.028443128,0
43100,13727,0,0.028593874,0
43200,13757,0,0.028730269,0
43300,13777,0,0.028822038,0
43400,13801,0,0.028969782,0
43500,13818,0,0.028998969,0
43600,13833,0,0.029160738,0
43700,13859,0,0.029168898,0
43800,13883,0,0.029221868,0
43900,13895,0,0.029230657,0
44000,13927,0,0.029347867,0
44100,13957,0,0.029376389,0
44200,13992,0,0.029386139,0
44300,14009,0,0.029472533,0
44400,14030,0,0.029520663,0
44500,14057,0,0.029456735,0
44600,14077,0,0.029491682,0
44700,14092,0,0.029583761,0
44800,14111,0,0.029698084,0
44900,14130,0,0.029740483,0
45000,14165,0,0.029790728,0
45100,14194,0,0.030123283,0
45200,14235,0,0.030147719,0
45300,14252,0,0.03022818,0
45400,14277,0,0.030380653,0
45500,14304,0,0.03041405,0
45600,14338,0,0.030463408,0
45700,14360,0,0.030494641,0
45800,14378,0,0.030501322,0
45900,14396,0,0.030680026,0
46000,14422,0,0.030658913,0
46100,14444,0,0.030850658,0
46200,14460,0,0.030833852,0
46300,14485,0,0.030805064,0
46400,14507,0,0.030784991,0
46500,14535,0,0.030776947,0
46600,14563,0,0.030895777,0
46700,14601,0,0.031013214,0
46800,14637,0,0.031065931,0
46900,14675,0,0.03106153,0
47000,14691,0,0.031059411,0
47100,14705,0,0.031096359,0
47200,14724,0,0.031195131,0
47300,14756,0,0.031255735,0
47400,14798,0,0.031375733,0
47500,14823,0,0.031372755,0
47600,14856,0,0.031385415,0
47700,14881,0,0.031407135,0
47800,14895,0,0.031585921,0
47900,14924,0,0.031643888,0
48000,14942,0,0.031780303,0
48100,14960,0,0.031907991,0
48200,14972,0,0.031898456,0
48300,15003,0,0.032001764,0
48400,15023,0,0.032055944,0
48500,15042,0,0.032088335,0
48600,15067,0,0.032103405,0
48700,15082,0,0.03213943,0
48800,15101,0,0.032142422,0
48900,15124,0,0.032214178,0
49000,15140,0,0.032348502,0
49100,15174,0,0.032290553,0
49200,15199,0,0.032264328,0
49300,15220,0,0.032271102,0
49400,15241,0,0.032286342,0
49500,15265,0,0.032338823,0
49600,15287,0,0.032356926,0
49700,15309,0,0.032403815,0
49800,15324,0,0.032482071,0
49900,15334,0,0.032542732,0
50000,15360,0,0.032639163,0
50100,15389,0,0.032642599,0
50200,15426,0,0.032649512,0
50300,15444,0,0.032814447,0
50400,15473,0,0.032938778,0
50500,15500,0,0.032910858,0
50600,15519,0,0.033105727,0
50700,15541,0,0.033198836,0
50800,15595,0,0.033201729,0
50900,15635,0,0.033178264,0
51000,15656,0,0.033178604,0
51100,15675,0,0.033202893,0
51200,15696,0,0.033357218,0
51300,15712,0,0.033596759,0
51400,15731,0,0.033644305,0
51500,15753,0,0.033646606,0
51600,15766,0,0.033652088,0
51700,15785,0,0.033687143,0
51800,15805,0,0.033704584,0
51900,15822,0,0.033839932,0
52000,15833,0,0.033833702,0
52100,15851,0,0.03382335,0
52200,15879,0,0.033790551,0
52300,15907,0,0.033844525,0
52400,15929,0,0.033877877,0
