EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
11600,8396.7,115.1239332,1.50E-05,5.28E-05
11650,8441.9,124.0960918,1.50E-05,5.28E-05
11700,8481.95,120.5056015,1.50E-05,5.28E-05
11750,8528,114.2733565,1.50E-05,5.28E-05
11800,8572.75,120.3012884,1.50E-05,5.28E-05
11850,8616.6,114.8052264,1.50E-05,5.28E-05
11900,8662.2,109.9425304,1.59E-05,5.23E-05
11950,8705.55,117.9586368,1.68E-05,5.27E-05
12000,8747.2,114.2744066,1.68E-05,5.27E-05
12050,8789.4,119.9846657,1.80E-05,5.71E-05
12100,8827.65,117.8517713,1.79E-05,5.70E-05
12150,8873.55,122.8192167,1.79E-05,5.70E-05
12200,8916.15,119.5233868,1.79E-05,5.70E-05
12250,8960.8,119.650491,1.79E-05,5.70E-05
12300,9005.05,121.2544432,1.79E-05,5.70E-05
12350,9048.75,119.0435215,2.01E-05,5.56E-05
12400,9092.7,119.0482255,2.01E-05,5.56E-05
12450,9136.3,123.778835,2.01E-05,5.56E-05
12500,9176.75,131.2042682,2.01E-05,5.56E-05
12550,9218.6,128.6496016,2.00E-05,5.55E-05
12600,9264.15,127.0964988,2.00E-05,5.55E-05
12650,9301.75,123.8747755,2.00E-05,5.55E-05
12700,9340.55,123.7610601,2.00E-05,5.55E-05
12750,9383.85,118.1077474,2.00E-05,5.55E-05
12800,9424.95,118.8865005,1.99E-05,5.54E-05
12850,9459.75,115.5418539,1.99E-05,5.54E-05
12900,9498.15,118.8175071,1.99E-05,5.54E-05
12950,9535.85,118.4064187,1.99E-05,5.54E-05
13000,9576.9,122.4901629,1.99E-05,5.54E-05
13050,9615.55,123.3038523,2.07E-05,5.69E-05
13100,9659.15,127.6758395,2.07E-05,5.69E-05
13150,9705.35,132.6972494,2.07E-05,5.69E-05
13200,9749,132.3314022,2.36E-05,5.45E-05
13250,9783.8,132.6544383,2.36E-05,5.45E-05
